ciclo,IF,ID,EX,MEM,WB
0,NOP,NOP,NOP,NOP,NOP
1,"ADDI $T0, $T0, 5",NOP,NOP,NOP,NOP
2,"ADDI $A0, $ZERO, 3","ADDI $T0, $T0, 5",NOP,NOP,NOP
3,JAL _MULT2,"ADDI $A0, $ZERO, 3","ADDI $T0, $T0, 5",NOP,NOP
4,NOP,JAL _MULT2,"ADDI $A0, $ZERO, 3","ADDI $T0, $T0, 5",NOP
5,"_MULT2: ADD $V0, $A0, $A0",NOP,JAL _MULT2,"ADDI $A0, $ZERO, 3","ADDI $T0, $T0, 5"
6,NOP,"_MULT2: ADD $V0, $A0, $A0",NOP,JAL _MULT2,"ADDI $A0, $ZERO, 3"
7,JR $ra,NOP,"_MULT2: ADD $V0, $A0, $A0",NOP,JAL _MULT2
8,_END: NOP,JR $ra,NOP,"_MULT2: ADD $V0, $A0, $A0",NOP
9,NOP,_END: NOP,JR $ra,NOP,"_MULT2: ADD $V0, $A0, $A0"
10,"SLL $T2, $V0, 2",NOP,_END: NOP,JR $ra,NOP
11,"ADD $T1, $T1, $T0","SLL $T2, $V0, 2",NOP,_END: NOP,JR $ra
12,"SW $T0, 11($T0)","ADD $T1, $T1, $T0","SLL $T2, $V0, 2",NOP,_END: NOP
13,"LW $T2, 11($T0)","SW $T0, 11($T0)","ADD $T1, $T1, $T0","SLL $T2, $V0, 2",NOP
14,NOP,"LW $T2, 11($T0)","SW $T0, 11($T0)","ADD $T1, $T1, $T0","SLL $T2, $V0, 2"
15,J _END,NOP,"LW $T2, 11($T0)","SW $T0, 11($T0)","ADD $T1, $T1, $T0"
16,"_MULT2: ADD $V0, $A0, $A0",J _END,NOP,"LW $T2, 11($T0)","SW $T0, 11($T0)"
17,_END: NOP,"_MULT2: ADD $V0, $A0, $A0",J _END,NOP,"LW $T2, 11($T0)"
18,NOP,_END: NOP,"_MULT2: ADD $V0, $A0, $A0",J _END,NOP
19,NOP,NOP,_END: NOP,"_MULT2: ADD $V0, $A0, $A0",J _END
20,NOP,NOP,NOP,_END: NOP,"_MULT2: ADD $V0, $A0, $A0"
21,NOP,NOP,NOP,NOP,_END: NOP
22,NOP,NOP,NOP,NOP,NOP
